"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","category"
"ISOC2",755.840224788548,-0.261889861791639,0.055860158058802,1.70123517664597e-06,7.73736740247442e-06,"Not Significant"
"UBE2L5",7.91279530793491,0.553018027799127,0.124747247938967,1.70421716841525e-06,7.74868506924975e-06,"Not Significant"
"ZNF341",131.438255064912,-0.295456065660898,0.063377689738233,1.70924375047136e-06,7.7692897748698e-06,"Not Significant"
"LSMEM1",170.457089154578,0.508444938910037,0.113522505822933,1.71100640673759e-06,7.77505082077573e-06,"Not Significant"
"ZNF841",326.914065229193,0.310540402121023,0.0667921882082611,1.71382328412762e-06,7.78559767384363e-06,"Not Significant"
"KIAA2012",122.563889343466,0.892289607372609,0.238597946597693,1.72163076074891e-06,7.81880328138786e-06,"Not Significant"
"AC000093.1",130.557055894023,0.533771383501216,0.119916710377406,1.72571723709706e-06,7.83509561088024e-06,"Not Significant"
"GLRB",101.028017865652,0.528862242522737,0.118732550910254,1.74231245501273e-06,7.9081542479618e-06,"Not Significant"
"ITGB8",16.8986468158628,0.625756063500553,0.144308256494504,1.74555996799008e-06,7.92060447903012e-06,"Not Significant"
"ALDH3B1",437.824878458427,0.515467094046915,0.115413651643427,1.75557104935012e-06,7.96372882831463e-06,"Not Significant"
"KLHL20",118.607236277511,0.433041731912517,0.0953667693494136,1.76883875876513e-06,8.02159691294412e-06,"Not Significant"
"GADD45A",158.762006147917,0.679561943673202,0.159974097026989,1.77387829908882e-06,8.04212800915232e-06,"Not Significant"
"SIRPG",136.115539406373,-0.630744890057452,0.145847070037311,1.77941166226362e-06,8.06488542076754e-06,"Not Significant"
"WDR74",1776.43834512681,-0.303718643154281,0.0653752969347798,1.79021496342102e-06,8.11150791506782e-06,"Not Significant"
"SLC25A13",565.358141428661,0.2014487077903,0.0426965990713299,1.79150198306589e-06,8.11499744204686e-06,"Not Significant"
"SLC5A2",50.3881584651071,-0.561721495070185,0.127323592929877,1.79567538650985e-06,8.13155568739679e-06,"Not Significant"
"ACTR8",465.944918068238,-0.239748028952676,0.0510940662984651,1.80227139411301e-06,8.15907176688992e-06,"Not Significant"
"CPSF1",2762.04780478652,-0.475076034578097,0.10559161929564,1.80360821703343e-06,8.16041758139044e-06,"Not Significant"
"ZNF471",153.106442944428,0.448246012148641,0.099095448245726,1.80349353011801e-06,8.16041758139044e-06,"Not Significant"
"PGS1",1515.31885253669,0.305529076642938,0.0658152563013319,1.80858471245506e-06,8.18057619865873e-06,"Not Significant"
"DDX58",115.294919328938,-0.647502490035073,0.150760364454418,1.81617505319488e-06,8.21254272326025e-06,"Not Significant"
"TMEM126A",696.504126454053,-0.272314714821172,0.0583526631665276,1.81997059146706e-06,8.22733610309035e-06,"Not Significant"
"FXN",467.350058753154,-0.254544549139073,0.0544153928790054,1.83799127038368e-06,8.30640844704197e-06,"Not Significant"
"CHSY1",161.148126675428,0.752128450276695,0.183608859092207,1.83954438102282e-06,8.3110350451966e-06,"Not Significant"
"PCDHGB1",19.2823487144125,0.554945526752114,0.12572203766011,1.84013172938183e-06,8.31129693650596e-06,"Not Significant"
"BRWD3",143.708369763717,0.343199615076113,0.0744812875554006,1.8423863834954e-06,8.31908720761514e-06,"Not Significant"
"RABGAP1L",1099.05100724378,-0.262760841755824,0.0562542379396477,1.84563240077044e-06,8.33134810008506e-06,"Not Significant"
"MTSS1",1053.36229013256,0.257324425439973,0.0550570653673795,1.85608067337384e-06,8.37610421729501e-06,"Not Significant"
"CASTOR2",74.710372031519,0.368304289997159,0.0803254454547557,1.85948438620271e-06,8.38905312166165e-06,"Not Significant"
"GCNT4",67.3650003703914,0.382382303697614,0.0836127293341988,1.86060204214695e-06,8.39168401657775e-06,"Not Significant"
"PCDHGC3",2773.55801367638,-0.439318821885953,0.0971097751340115,1.86634949440542e-06,8.41518870251726e-06,"Not Significant"
